Movie ID,User ID,Rating,Review date,Review text,Positive interact,Total interact,User link
tt9288030,ur13977076,9,9 February 2022,"Jack Reacher is a former major in the military police; when he head to the small town of Margrave, Georgia he hopes to learn a bit more about a favourite blues musician who died there... he did not expect to be arrested for murder as he had a meal in a diner! He is cleared, but not until after spending some dangerous time in jail. A startling revelation about the identity of the dead man leads to Reacher becoming determined to find those responsible and deal with them... permanently. He ends up working alongside two members of the police; local policewoman Roscoe Conklin and detective Oscar Finlay, a man who previously served the police in Boston. Together they find links to some very dangerous people, including some of the towns more respected citizens.I really enjoyed this series; I had planned to watch an episode a day but got so hooked I ploughed through it far more quickly. There is plenty of action in every episode and a solid story. While the story is spread over eight episodes it reminded me of those old shows where a protagonist would arrive in a new town each episode and solve a local problem before moving on. Even though one never doubts that Reacher will prevail in every confrontation the fight scenes are exciting and look fairly real. The cast is solid; Alan Ritchson impresses as Reacher, he certainly has the look; Malcolm Goodwin contrasts nicely as the thoroughly decent Detective Finlay and Willa Fitzgerald is solid as Officer Conklin. Overall I'd certainly recommend this; I hope we get further seasons.",92,129,/user/ur13977076/?ref_=tt_urv
tt9288030,ur0438066,TxM,7 February 2022,"New TV series streaming from Amazon, my wife and I watched two episodes on each of four successive nights. Sort of like movie nights. This is not high art, the writing has lots of humor, in real life Reacher couldn't get away with everything depicted. BUT ... it is a very entertaining series. Especially for those of us who enjoy seeing a smart, mild-mannered, well-spoken, well-trained, big tough guy put the bad guys in their places. Some simple thugs, some unruly prison inmates, some dirty cops. Ritchson is a r real good pick for the role. (In an interview he said he gained 30 pounds for the role.)Reacher is an ex-military man, he takes a bus to the small Georgia town, walks to town to look up an old blues singer's home, immediately gets arrested for murder, but eventually works with local law enforcement to help solve the mysteries, and there are several.Most episodes are roughly 45 to 50 minutes long, set in a fictional Georgia town not far from Atlanta. Cast and characters are interesting. The story is not too deep but surprisingly interesting, just good entertainment. Streaming on Amazon.",89,117,/user/ur0438066/?ref_=tt_urv
tt9288030,ur2767381,lava,9 February 2022,"If not spectacular, ""Reacher"" was an eminently watchable and entertaining miniseries. It is anchored by a giant Redwood of a man named Jack Reacher, whose paramilitary and intelligence background figure in the action.The taciturn superhero arrives in the small, fictional town of Margrave, Georgia, to discover a major counterfeiting operation run by a family of cutthroats and their goons. Along the way, Reacher bonds with the local sheriff and discovers his deepest secret of guilt for not spending more time with deceased wife. A budding romance ensues between Reacher and the female deputy named Roscoe Conklin.Some of the best scenes in the film were the flashbacks of young Reacher growing up with his brother Joe as military brats. Their wise mother, a Frenchwoman, recognized the boys' gifts as leaders and gave them special advice that helped to shape their futures.There was a clever approach to the counterfeiting idea and some especially nasty characters running the operation. At every turn, Reacher feels betrayed by someone whom he trusted. The filmmakers integrated some humor with lively banter and one-liners.The size and brawn of Jack Reacher suggested a superhero-type who arrives in town to clean up the corruption much like a classic Western. While there was predictability in this by-the-numbers series, each episode was well-directed and well-performed. One can even get a sense of the smell and taste of that delicious Georgia peach pie served at the local diner.",39,51,/user/ur2767381/?ref_=tt_urv
tt9288030,ur44112735,7,9 February 2022,"1. Lee Child is to 2020 what Mickey Spillaine was to 1950. Look it up.2. Reacher is a binary entertainment product. It either works or it does not. Cruise, one of the most powerful Hollywood hitters, missed. This version is not bad.3. Spillaine wrote novels right to the end. Child wants beach time and passed the franchise to a family member. That never works well.4. Banshee was a better production. Reacher however has an instant worldwide audience. No contest.",36,113,/user/ur44112735/?ref_=tt_urv
tt9288030,ur64264987,6,6 February 2022,"A solid show, I like it. I wouldn't compare Reacher with detective shows like The Bridge or Criminal Minds - it reminds me rather of Banshee (2013), with a little lower action and violence level. Anyway, so far Reacher is a decent show, nothing ueber-good but quite entertaining.",64,122,/user/ur64264987/?ref_=tt_urv
tt9288030,ur29500838,8,15 February 2022,Reacher is a quality series that I look forward to continuing with season 2.Its has some genuinely funny moments and the additional action scenes are deliver really well.The most pleasing aspect though is that its an adult show not sanitised for a younger audience. It give the show more credibility :),31,38,/user/ur29500838/?ref_=tt_urv
tt9288030,ur3580907,6,18 February 2022,"A big reason you may watch, or not, is if you like Alan Ritchson's character Reacher. For me it's a likable portrayal of the cunning wolf who has a heart hidden by his ability to dispense final justice with cold efficiency. That's pretty much why I watched as much of the rest of the Reacher cast and story wasn't as good. Think a veiled remake of Walking Tall and you can sense the mix of good and not so good. Reacher aspires for realism but goes off from that quite often. With a really tight and real story the character of Reacher would be fully realized. In the end, good not great.",15,27,/user/ur3580907/?ref_=tt_urv
tt9288030,ur68519886,7,6 February 2022,"This plays like a 1950s John Wayne movie where the hero is the All-American boy next door, pure of heart and kills only bad guys! He is invincible, just an average guy, not a super hero in Spandex or with special powers. He saves damsels (and animals) in distress and has a heart of gold.The plot for the series is a bit convoluted. The special effects are gory, but relevant to the plot. The action is fast paced and there are a few surprises. It is a very entertaining series that keeps viewers engaged. The best thing about it is the complete lack of ""Wokeness"" that is so pervasive in many of the current series.",157,215,/user/ur68519886/?ref_=tt_urv
tt9288030,ur117926588,9,7 February 2022,"Jack Reacher (Alan Ritchson), a former U. S. Army military policeman, now lives as a drifter carrying only his passport, cash, and a French military service medal. Upon his arrival in the rural town of Margrave, Georgia, Reacher is arrested for his suspected murder of a man found dead near an overpass. Boston born and Harvard educated Chief Detective Oscar Finlay (Malcolm Goodwin) is suspicious of Reacher while Officer Roscoe Conklin (Willa Fitzgerald) is more receptive of Reacher's presence in the town. When a banker named Paul Hubble (Marc Bendavid) confesses to the crime without any corroborating evidence Reacher becomes embroiled in a mystery which only raises more questions when it's revealed the man murdered under the overpass was in fact Reacher's estranged brother Joe.Based on the Jack Reacher series of books by Lee Child, Reacher marks the latest attempt to mine the books for adaptation following the Tom Cruise led film franchise fizzling out with the divisive follow up Jack Reacher: Never Go Back. While I enjoyed the Tom Cruise films to a degree (even the second one wasn't terrible) it's undeniable Tom Cruise did not match the description Child created in the books. Now free of the constraints that come with feature films and given more breathing room with 8 episodes, Reacher is fun detective fiction that creates an engaging narrative and a likable protagonist played by Alan Ritchson.Alan Ritchson is fantastic as Reacher as he plays the character as a man with a strong sense of justice. Reacher doesn't actively seek out trouble, but if it happens to find him he makes it clear that it will regret having sought him out. Ritchson gives the character a lot of humor with his laid back charisma leading to some genuinely humorous moments between the various baddies he encounters as well as in his alliances with Finlay and Roscoe. Malcolm Goodwin is a solid ally for Reacher as despite being a man of intellect and character, he's not above getting his hands (or his tweed suit) dirty in pursuit of ridding the town of corruption despite often being looked upon as an outsider. Willa Fitzgerald is really good as Roscoe who has great chemistry with Ritchson and despite being a love interest isn't overly sexualized and can hold her own against the villains. The show's mystery is engaging with Reacher and his allies tracking down leads throughout the town of Margrave with actors like Bruce McGill, Chris Webster, Willie C. Carpenter, Harvey Guillen, and Kristin Kreuk giving solid performances as the various characters Reacher and company come into contact with.Reacher is terrific entertainment. Alan Ritchson is perfectly cast as the titular Jack Reacher and is surrounded by a solid supporting cast who make the mystery entertaining and thrilling. The show promises even further adventures for the character derived from the books and if they stay at the level of this season I can see this having legs.",unknown,User-unknown,/user/ur117926588/?ref_=tt_urv
tt9288030,ur20309759,1,7 February 2022,"It started off strong but and then devolved very quickly into not making much sense and loaded with incredible coincidences. I like the actors, but the story was just too farfetched for me. This whole idea of fictionalizing America as more violent and dangerous than any war zone is becoming a self-fulfilling prophecy.It's like the writers were too bad or stupid to care about making any sense at all, or they don't care because viewers are too stupid to care. Whichever scenario this is, Reacher is as unbelievable and childish as any comic book adaptation, and I don't do comic book adaptations-I'm a grown man.It's like the writers think that if they just throw in enough fights and shootouts that makes it good. It's like the guy can't walk by a group of three or more other dudes without beating them up. ""He started it"" is not a defense for manslaughter. Reacher would have about two dozen assault charges and four or five murder investigations pending against him. Reacher was a military cop for 20 years and he takes the law into his own hands every chance he gets? He must have been a lousy cop, like all of the yahoos shooting people for no good reason.This wasn't good and seemed to be digging itself deeper into a pit of stupidity with every episode. Whenever they showed Reacher's prowess for deductive reasoning, it was just too much. ""The moon was at first quarter that night and would have cast a shadow..."" Too much.I really wanted to like this series; I swear. I couldn't make it through even one of the books, although I started a few of them. Just sort of too preposterous for me, but I really liked the Reacher character, or at least aspects of him. I actually like the Tom Cruise version, but once again, the story was too much, too conspiratorial, too complicated, too stupid.In this series, I thought all the actors were great. Reacher was good and size-appropriate for the book character. Roscoe was convincing. I really liked the chubby kid at the morgue. He was funny and his small role brought a lot to the show.",unknown,User-unknown,/user/ur20309759/?ref_=tt_urv
